"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name","description"
"ENSG00000126550",408.481045164394,-12.0445571396831,2.87327366356979,-4.1919282845891,2.7659343824611e-05,0.0404124944506519,"HTN1","histatin 1 [Source:HGNC Symbol;Acc:HGNC:5283]"
"ENSG00000148677",67701.5612614386,-7.58696391144424,1.76397758384534,-4.30105460575369,1.69987160902572e-05,0.027497851664004,"ANKRD1","ankyrin repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:15819]"
"ENSG00000167785",331.168768445316,-24.1096215712195,3.21575717601894,-7.49733896297072,6.51264100428297e-14,1.47491780823996e-09,"ZNF558","zinc finger protein 558 [Source:HGNC Symbol;Acc:HGNC:26422]"
"ENSG00000169436",592.646870080826,-12.581375999437,2.62378358399052,-4.79512718815855,1.62571649897145e-06,0.00460220019402581,"COL22A1","collagen type XXII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:22989]"
"ENSG00000176769",225.258756507732,-23.4369033202153,3.21421858448114,-7.29163331746419,3.06219661667153e-13,2.4567730177604e-09,"TCERG1L","transcription elongation regulator 1 like [Source:HGNC Symbol;Acc:HGNC:23533]"
"ENSG00000176907",10460.3048444759,-6.55827360545133,1.58491422477787,-4.13793598601242,3.50444106507507e-05,0.0466853392945618,"TCIM","transcriptional and immune response regulator [Source:HGNC Symbol;Acc:HGNC:1357]"
"ENSG00000187037",470.385650661444,-12.2477083612103,2.58616648542856,-4.73585456706618,2.18133975677868e-06,0.00517820046303122,"GPR141","G protein-coupled receptor 141 [Source:HGNC Symbol;Acc:HGNC:19997]"
"ENSG00000217330",896.004927598638,-8.4108700969876,1.61875038480094,-5.19590307187597,2.03728394895733e-07,0.000922767391840733,"SSXP10","SSX family pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:30638]"
"ENSG00000225980",224.432315381497,-23.5793659839737,3.23739963275502,-7.28342764526345,3.25443504803339e-13,2.4567730177604e-09,"OR7E19P","olfactory receptor family 7 subfamily E member 19 pseudogene [Source:HGNC Symbol;Acc:HGNC:8390]"
"ENSG00000235385",5238.80389446615,-8.69584418359118,2.07799690745216,-4.18472431426916,2.8551239069653e-05,0.0404124944506519,"LINC02154","long intergenic non-protein coding RNA 2154 [Source:HGNC Symbol;Acc:HGNC:53015]"
"ENSG00000242242",7779.18295733961,-7.60128486491802,1.49690648466405,-5.07799581523223,3.81437094935163e-07,0.00123405798414238,"NECTIN3-AS1","NECTIN3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40813]"
"ENSG00000251320",540.084407392349,-12.446956692392,2.67554553578105,-4.6521191756725,3.2854110238483e-06,0.00676406395064477,"","novel transcript"
"ENSG00000259727",457.079342268023,-12.2061663828161,2.80373332505103,-4.35354042902562,1.33956377535541e-05,0.0233362314003647,"","novel transcript"
"ENSG00000286339",3324.81723599066,-9.81837675749369,1.76203245548583,-5.57218837083598,2.51559204279457e-08,0.000142426532482922,"","novel transcript, antisense to CEP85L"
